fecha_produccion,Produccion_barriles_t,prediction,Qomes_b_t_q90,Qomes_b_t_q10,prediccion_q90,prediccion_q10,residuo
2012-11-01,273.56932203389863,284.210087622236,409.2100000000004,178.77,461.8761308943632,185.74730222592706,-10.640765588337388
2012-12-01,270.4891379310344,274.2925255257632,388.13,187.16,388.8423638737547,191.72044041238922,-3.803387594728804
2013-01-01,280.29090909090905,276.3833591632629,399.72,192.28,391.33519906814877,191.0976408392382,3.90754992764613
2013-02-01,253.36568965517267,253.31160587228237,361.04,173.6,355.3863429257036,176.51808481265766,0.054083782890302246
2013-03-01,282.47568965517246,280.97250359084694,397.2,191.14,395.2060147311432,192.1811453522522,1.5031860643255186
2013-04-01,270.1475862068966,272.97325142440167,376.89200000000005,183.19,382.6096053637798,186.68214187552212,-2.8256652175050476
2013-05-01,284.7520689655172,280.34827317936,399.72,192.28,390.78905907929914,189.52012502939135,4.403795786157218
2013-06-01,276.7299999999999,274.9644006869502,386.82,186.07,382.33588508666895,186.978989304736,1.7655993130496768
2013-07-01,285.4556896551724,281.6708437792216,399.72,192.28,399.47736427836145,194.44886467285795,3.7848458759507935
2013-08-01,419.95843750000006,397.0459121657629,739.219,169.50900000000001,599.9358147255178,226.60888655970615,22.91252533423716
2013-09-01,289.2124000000001,301.24649757748216,530.224,106.92,542.4461059024036,140.57856343804778,-12.034097577482044
2013-10-01,317.8390740740742,314.7405674527968,585.3740000000003,130.68,537.9269815448449,151.2675692904975,3.0985066212773518
2013-11-01,317.90454545454554,321.9240694370248,591.952,125.76,553.4232292503707,137.95593600549802,-4.019523982479257
2013-12-01,340.6405555555556,337.2653174826072,652.17,130.43,607.5369219467213,141.53916364122318,3.3752380729483775
2014-01-01,335.9732692307693,340.2991387879728,593.961,122.07,612.2456897922416,135.5191902836258,-4.325869557203532
2014-02-01,337.74807692307695,334.7846118168992,611.3289999999998,122.88999999999999,580.7144905669719,132.4226111813392,2.9634651061777504
2014-03-01,333.93547169811325,335.3824165703114,620.2860000000001,122.7,593.2805959663601,130.38824321587347,-1.4469448721981735
2014-04-01,322.1055555555555,334.281742314544,576.481,115.394,582.5742028152533,123.66231359986739,-12.176186758988479
2014-05-01,320.07730769230784,324.40920639116877,579.477,132.2,545.6627851657342,131.9131280428275,-4.331898698860925
2014-06-01,329.9928301886794,324.27231730640483,584.57,142.28,563.9387427174095,134.32384015586678,5.7205128822745905
2014-07-01,322.1878846153847,327.5389932270113,586.991,158.051,566.3125321148123,165.4485475057801,-5.351108611626614
