index,NOMBRE_DE_POZO,NOMBRE_DEL_ELEMENTO_GEOLOGICO,MNEMONICO_DEL_ELEMENTO_GEOLOGICO,TIPO_UNIDAD_ESTRATIGRAFICA,CIMA_(md),BASE_(md),"NIVEL_DE_REFERENCIA
"
402,MOLOACAN-412,DEPOSITO,DPST,FMN,556,600,MR
403,MOLOACAN-413,CONCEPCION SUPERIOR,CNSR,FMN,0,194,MR
404,MOLOACAN-413,ENCANTO,ENCT,FMN,194,600,MR
405,MOLOACAN-414,CONCEPCION SUPERIOR,CNSR,FMN,0,185,MR
406,MOLOACAN-414,ENCANTO,ENCT,FMN,185,650,MR
407,MOLOACAN-415,CONCEPCION SUPERIOR,CNSR,FMN,0,196,MR
408,MOLOACAN-415,ENCANTO,ENCT,FMN,196,650,MR
409,MOLOACAN-416,CONCEPCION SUPERIOR,CNSR,FMN,0,141,MR
410,MOLOACAN-416,CONCEPCION INFERIOR,CNIR,FMN,141,276,MR
411,MOLOACAN-416,ENCANTO,ENCT,FMN,276,650,MR
412,MOLOACAN-417,CONCEPCION SUPERIOR,CNSR,FMN,0,157,MR
413,MOLOACAN-417,CONCEPCION INFERIOR,CNIR,FMN,157,292,MR
414,MOLOACAN-417,ENCANTO,ENCT,FMN,292,720,MR
415,MOLOACAN-417,OLIGOCENO,OLGN,FMN,720,725,MR
416,MOLOACAN-418,CONCEPCION SUPERIOR,CNSR,FMN,0,101,MR
417,MOLOACAN-418,CONCEPCION INFERIOR,CNIR,FMN,101,227,MR
418,MOLOACAN-418,ENCANTO,ENCT,FMN,227,700,MR
419,MOLOACAN-421,CONCEPCION SUPERIOR,CNSR,FMN,0,150,MR
420,MOLOACAN-421,ENCANTO,ENCT,FMN,150,500,MR
421,MOLOACAN-422,CONCEPCION SUPERIOR,CNSR,FMN,0,111,MR
422,MOLOACAN-422,CONCEPCION INFERIOR,CNIR,FMN,111,221,MR
