NOMBRE_DEL_POZO,CIMA_(md),BASE_(md),NIVEL_DE_REFERENCIA,POROSIDAD_(%),VOLUMEN_DE_ARCILLA_(%),SATURACION_DE_AGUA_(%),FORMACION_GEOLOGICA,COMENTARIOS,
MOLOACAN-319,325,332,MR,22,SIN INFORMACION,37,ENCANTO,OBSERVA POZO FLUYENDO ACEITE LIMPIO,
MOLOACAN-319,345,349,MR,20,SIN INFORMACION,30,ENCANTO,OBSERVA POZO FLUYENDO ACEITE LIMPIO,
MOLOACAN-319,398,404,MR,17,SIN INFORMACION,35,ENCANTO,NO APORTO,
MOLOACAN-319,422,428,MR,14,SIN INFORMACION,32,ENCANTO,NO RECUPERO NIVEL,
MOLOACAN-319,471,478,MR,21,SIN INFORMACION,25,ENCANTO,ACEITE CON 20% DE AGUA 11000 PPM,
MOLOACAN-320,479,488,MR,25,SIN INFORMACION,30,ENCANTO,PRODUCCION DE ACEITE Y GAS,
MOLOACAN-321,331,336,MR,22,SIN INFORMACION,35,ENCANTO,OBSERVO POZO SATISFACTORIAMNETE,
MOLOACAN-321,387,395,MR,13,SIN INFORMACION,30,ENCANTO,INTERVALO CON PRODUCCION DE ACEITE,
MOLOACAN-321,408,410,MR,15,SIN INFORMACION,50,ENCANTO,INTERVALO CON PRODUCCION DE ACEITE,
MOLOACAN-321,586,589,MR,21,SIN INFORMACION,30,ENCANTO,INTERVALO PRODUCTOR DE ACEITE,
MOLOACAN-322,440,460,MR,19,SIN INFORMACION,28,ENCANTO,"APOROTO ACEITE, POCO GAS Y AGUA 45%",
MOLOACAN-322,505,518,MR,20,SIN INFORMACION,25,ENCANTO,PRODUCCION DE ACEITE Y GAS,
MOLOACAN-323,457,467,MR,27,SIN INFORMACION,30,ENCANTO,INTERVALO CON PRODUCCION DE ACEITE,
MOLOACAN-323,514,517,MR,27,SIN INFORMACION,40,ENCANTO,INTERVALO CON PRODUCCION DE ACEITE,
MOLOACAN-324,262,272,MR,14,SIN INFORMACION,11,ENCANTO,INTERVALO CON PRODUCCION DE ACEITE,
MOLOACAN-324,317,320,MR,23,SIN INFORMACION,32,ENCANTO,PRODUCTOR DE ACEITE CON BOMBEO MECANICO, 
MOLOACAN-324,326,328,MR,27,SIN INFORMACION,36,ENCANTO,PRODUCTOR DE ACEITE CON BOMBEO MECANICO, 
MOLOACAN-324,376,378,MR,23,SIN INFORMACION,27,ENCANTO,PRODUCTOR DE ACEITE CON BOMBEO MECANICO, 
MOLOACAN-324,427,440,MR,25,SIN INFORMACION,37,ENCANTO,INTERVALO PRODUCTOR DE ACEITE, 
MOLOACAN-325,262,272,MR,11,SIN INFORMACION,16,ENCANTO,BAJA RECUPERACION,
MOLOACAN-325,275,277,MR,17,SIN INFORMACION,28,ENCANTO,BAJA RECUPERACION,
MOLOACAN-325,320,323,MR,19,SIN INFORMACION,36,ENCANTO,AISLADO,
